Feature,Importance
month,0.5441096683921595
month_cos,0.23548821761846414
kitchen_ratio,0.23071428076239023
hvac_ratio,0.17860089737223242
hour_cos,0.15482092879493875
month_sin,0.13705355152369264
total_submetering,0.06897480929133164
year,0.048547846499556596
laundry_ratio,0.04271085994110839
dayofweek_cos,0.037537314705887344
is_weekend,0.028552467539265627
is_month_end,0.025061824406386872
hour,0.021854557035053044
dayofweek,0.019184345336206853
day_of_year,0.01835313602914594
dominant_device,0.018003097911668865
is_month_start,0.01653063183879251
dayofweek_sin,0.01595379493915175
quarter,0.00948862552095445
day,0.008874220364996481
day_of_month,0.008874220364994417
hour_sin,0.008822493483350508
week_of_year,0.004406394432684097
